unique_id,long,lat,year,source,crop,treatment,n_kgpha,p_kgpha,k_kgpha,grain_yield_kgpha
SARI_51_4475,37.701,8.306,2021,SARI,Teff,NPKSZn,92,30.1,49.8,1500
SARI_51_4479,37.701,8.306,2021,SARI,Teff,NPKZnB,92,30.1,49.8,1500
SARI_51_4474,37.701,8.306,2021,SARI,Teff,NPKSZn,92,30.1,49.8,1500
SARI_51_4480,37.701,8.306,2021,SARI,Teff,NPKZnB,92,30.1,49.8,1500
SARI_53_4531,37.709,8.28,2021,SARI,Teff,NPKSZnB,92,30.1,49.8,1500
SARI_54_4567,37.713,8.28,2021,SARI,Teff,NPKSB,92,30.1,49.8,1500
EIAR_149_1597,37.88923,8.41303,2021,EIAR,Teff,NPKSB,75,25,49.8,1500.62037
ARARI_62_736,37.592833,11.161028,2021,ARARI,Teff,NPKSZn,80,20.1,49.8,1500.833333
14971_38.220756_10.330885,38.220756,10.330885,2003,P_calibration NSRC,Teff,NP,46,40.17467249,0,1501.111111
ARARI_65_823,37.589889,11.229833,2021,ARARI,Teff,NPKSZnB,80,20.1,49.8,1501.666667
29472_38.802424_14.040348,38.802424,14.040348,2016,SARI_NPKS_Trial,Teff,NPKSZnB,92,30.13100437,74.38,1501.794872
14961_38.220756_10.330885,38.220756,10.330885,2003,P_calibration NSRC,Teff,NP,92,40.17467249,0,1502.222222
16167_37.636021_8.289864,37.636021,8.289864,1996,P_calibration NSRC,Teff,NP,138,10.04366812,0,1502.222222
20017_41.916396_9.06657,41.916396,9.06657,2013,Cascape,Teff,N,138,0,0,1502.5
ARARI_67_887,37.481417,11.292639,2021,ARARI,Teff,NPKSZn,80,20.1,49.8,1502.5
OARI_114_3683,39.18648,8.66055,2021,OARI,Teff,NPSZnB,69,20.1,0,1502.5
29991_38.422078_11.807463,38.422078,11.807463,2014,ARARI_NPKS_Trial,Teff,NPKSZnB,92,30.13100437,74.38016529,1503
28188_38.284468_8.680174,38.284468,8.680174,2014,OARI_NPKS_Trial,Teff,NPKSZnB,115,30.13,66.1157,1503.3
EIAR_140_1338,38.03114,10.20971,2021,EIAR,Teff,NPKSZn,92,30.1,49.8,1503.703704
28989_38.744131_14.04453,38.744131,14.04453,2015,TARI_NPKS_Trial,Teff,NPKSZnB,92,50.21834061,74.38,1503.846
20825_39.737647_9.604409,39.737647,9.604409,2016,SG 2000,Teff,NPKS,65,16.59,50,1504
10287_38.718733_10.546041,38.718733,10.546041,2006,P_calibration NSRC,Teff,NP,46,10.04366812,0,1504.266667
15077_38.232731_10.325386,38.232731,10.325386,2003,P_calibration NSRC,Teff,N,138,0,0,1504.444444
DZ-EIAR-1_4615,39.31,8.87,2021,EIAR,Teff,Control,0,0,0,1504.8
10249_38.713602_10.537362,38.713602,10.537362,2006,P_calibration NSRC,Teff,P,0,10.04366812,0,1504.888889
16210_36.80833_12.024219,36.80833,12.024219,2004,P_calibration NSRC,Teff,NP,92,20.08733624,0,1504.888889
28746_37.480591_10.785528,37.480591,10.785528,2015,ARARI_NPKS_Trial,Teff,NPKSZnB,20,30.13,66.1157,1505
29311_38.905523_8.65667,38.905523,8.65667,2015,OARI_NPKS_Trial,Teff,NPKSZnB,92,30.13100437,74.38,1505
29574_37.480591_10.785528,37.480591,10.785528,2015,ARARI_NPKS_Trial,Teff,NPKSZnB,92,30.13100437,74.38,1505
EIAR_169_2173,37.91365,8.96672,2021,EIAR,Teff,NPKSZn,92,30.1,49.8,1505
OARI_110_3568,39.18378,8.57778,2021,OARI,Teff,NKSZnB,69,0,49.8,1505
15157_38.207753_10.312908,38.207753,10.312908,2003,P_calibration NSRC,Teff,NP,92,40.17467249,0,1505.555556
16266_36.821807_12.032506,36.821807,12.032506,2004,P_calibration NSRC,Teff,NP,92,40.17467249,0,1505.555556
2728_494,37.767,12.439,2020,ARARI,Teff,NPSZnB,60,16.6,0,1506
20367_38.008296_7.717847,38.008296,7.717847,2011,Cascape,Teff,NP,41,20,0,1506.17284
20369_38.008296_7.717847,38.008296,7.717847,2011,Cascape,Teff,NP,64,20,0,1506.17284
20372_38.008296_7.717847,38.008296,7.717847,2011,Cascape,Teff,NPSCa,64,20,0,1506.17284
20430_37.984265_7.839971,37.984265,7.839971,2011,Cascape,Teff,NP,41,20,0,1506.17284
10435_38.717235_10.531234,38.717235,10.531234,2006,P_calibration NSRC,Teff,NP,46,20.08733624,0,1506.466667
EIAR_198_3040,38.952,8.319,2021,EIAR,Teff,NPKSZnB,92,30.1,49.8,1506.666667
EIAR_198_3055,38.952,8.319,2021,EIAR,Teff,NKSZnB,92,0,49.8,1506.666667
EIAR_205_3254,38.915,8.266,2021,EIAR,Teff,NPKSZn,92,30.1,49.8,1506.666667
EIAR_205_3263,38.915,8.266,2021,EIAR,Teff,NPSZnB,92,30.1,0,1506.666667
EIAR_169_2170,37.91365,8.96672,2021,EIAR,Teff,NPKSZnB,92,30.1,49.8,1507.5
20882_36.895479_12.215327,36.895479,12.215327,2016,SG 2000,Teff,NPKS,42,16.59,50,1508
ARARI_75_1134,39.24195,9.83624,2021,ARARI,Teff,NPKZnB,120,30.1,49.8,1508.333333
19797_36.939675_11.354903,36.939675,11.354903,2011,Cascape,Teff,NPKS,64,20.09,21,1509
29534_37.000151_11.41079,37.000151,11.41079,2014,ARARI_NPKS_Trial,Teff,NPKSZnB,92,30.13100437,74.38,1509
EIAR_137_1256,38.01805,10.18139,2021,EIAR,Teff,NPSZnB,92,30.1,0,1509.259259
EIAR_140_1337,38.03114,10.20971,2021,EIAR,Teff,NPKSZn,92,30.1,49.8,1509.259259
30000_38.422078_11.807463,38.422078,11.807463,2014,ARARI_NPKS_Trial,Teff,NPKSZnB,92,30.13100437,89.25619835,1509.5
8803_36.565174_9.906216,36.565174,9.906216,2015,ATA_Balanced_Fertilizer_Trial,Teff,NPKSZnB,60,22.70742358,0,1510
14829_38.218389_10.320614,38.218389,10.320614,2003,P_calibration NSRC,Teff,NP,138,20.08733624,0,1510
19802_36.926563_11.510613,36.926563,11.510613,2011,Cascape,Teff,NP,64,20.09,0,1510
20829_39.736557_9.601949,39.736557,9.601949,2016,SG 2000,Teff,NPKS,42,16.59,50,1510
22871_39.737018_9.601352,39.737018,9.601352,2017,SG 2000,Teff,NPS,42,16.59,0,1510
28268_38.320785_8.677037,38.320785,8.677037,2016,OARI_NPKS_Trial,Teff,NPKSZnB,23,30.13,66.1157,1510
28682_37.000151_11.41079,37.000151,11.41079,2015,ARARI_NPKS_Trial,Teff,NPKSZnB,92,30.13,66.1157,1510
28740_37.480591_10.785528,37.480591,10.785528,2015,ARARI_NPKS_Trial,Teff,NPKSZnB,20,30.13,66.1157,1510
28752_37.480591_10.785528,37.480591,10.785528,2015,ARARI_NPKS_Trial,Teff,NPKSZnB,20,30.13,66.1157,1510
29150_37.000151_11.41079,37.000151,11.41079,2015,ARARI_NPKS_Trial,Teff,NPKSZnB,92,40.17467249,74.38,1510
29568_37.480591_10.785528,37.480591,10.785528,2015,ARARI_NPKS_Trial,Teff,NPKSZnB,92,30.13100437,74.38,1510
29580_37.480591_10.785528,37.480591,10.785528,2015,ARARI_NPKS_Trial,Teff,NPKSZnB,92,30.13100437,74.38,1510
EIAR_179_2483,38.07564,9.00093,2021,EIAR,Teff,NPSZnB,92,30.1,0,1510
EIAR_182_2567,38.08807,9.04921,2021,EIAR,Teff,NPKSB,92,30.1,49.8,1510
OARI_110_3566,39.18378,8.57778,2021,OARI,Teff,NKSZnB,69,0,49.8,1510
EIAR_157_1818,38.938,8.814,2021,EIAR,Teff,NPKSB,92,30.1,49.8,1510.416667
OARI_96_4218,38.50186,9.3646,2021,OARI,Teff,NPS,69,30.1,0,1511.111111
OARI_97_4235,38.50186,9.3646,2021,OARI,Teff,NKSZnB,92,0,49.8,1511.111111
OARI_98_4264,38.34228,9.38528,2021,OARI,Teff,NKSZnB,92,0,49.8,1511.111111
15830_38.217695_14.132348,38.217695,14.132348,2003,P_calibration NSRC,Teff,NP,92,10.04366812,0,1511.111111
16762_36.956912_11.538747,36.956912,11.538747,2007,P_calibration NSRC,Teff,NP,46,40.17467249,0,1511.111111
16766_36.956912_11.538747,36.956912,11.538747,2007,P_calibration NSRC,Teff,NP,92,20.08733624,0,1511.111111
16816_36.916492_11.589465,36.916492,11.589465,2007,P_calibration NSRC,Teff,NP,138,10.04366812,0,1511.111111
29070_38.802424_14.040348,38.802424,14.040348,2016,TARI_NPKS_Trial,Teff,NPKSZnB,92,20.08733624,74.38,1511.36
16416_36.880171_12.009017,36.880171,12.009017,2004,P_calibration NSRC,Teff,NPK,138,40.17467249,49.58677686,1511.444444
30015_37.000151_11.41079,37.000151,11.41079,2014,ARARI_NPKS_Trial,Teff,NPKSZnB,92,30.13100437,74.38016529,1511.5
EIAR_152_1692,37.95051,8.31853,2021,EIAR,Teff,NP,75,25,0,1511.541667
